Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
,5.3.1.1,Escherichia coli,R45,Triose-phosphate isomerase,R01015,MRL,1 D_Glyceraldehyde_3_phosphate,1 Glycerone_phosphate,Km_D_Glyceraldehyde_3_phosphate: 0.3182372663402009; Km_Glycerone_phosphate: 0.4214530446161291,Kcat_F: 4790.652341911988; Kcat_R: 1632.3304233937486,,,Keq: 10
,2.3.3.1,Escherichia coli,R46,Type II citrate synthase,R00351,MRL,1 Citrate; 1 CoA,1 AcetylCoA; 1 H2O; 1 Oxaloacetate,Km_Citrate: 0.06257949063100819; Km_CoA: 0.09083682094412102; Km_AcetylCoA: 0.10666638027233129; Km_H2O: 0.0682867028961761; Km_Oxaloacetate: 0.03212850870103559,Kcat_F: 519.7441811241221; Kcat_R: 677.0048732578141,NADH;ATP;SuccinylCoA;Hydroxycitrate,NADH_KI: 0.02907;ATP_KI: 0.55252;SuccinylCoA_KI: 0.05828;Hydroxycitrate_KI: 0.71859,Keq: 1.6e-07
,4.1.3.1,Escherichia coli,R47,Isocitrate lyase,R00479,MRL,1 Isocitrate,1 Succinate; 1 Glyoxylate,Km_Isocitrate: 0.3925697907645853; Km_Succinate: 0.683309690337964; Km_Glyoxylate: 1.4387771862739482,Kcat_F: 32.12790183623365; Kcat_R: 42.69263219212734,,,Keq: 0.02
,6.2.1.1,Escherichia coli,R48,Acetyl-CoA synthetase,R00235,MRL,1 ATP; 1 Acetate; 1 CoA,1 AMP; 1 Diphosphate; 1 AcetylCoA,Km_ATP: 0.16108192752994732; Km_Acetate: 1.621801632531707; Km_CoA: 0.11482231466945002; Km_AMP: 0.0636735372173794; Km_Diphosphate: 0.2726079464710322; Km_AcetylCoA: 0.1375856857158914,Kcat_F: 254.01749492592782; Kcat_R: 240.89377732964084,,,Keq: 30
,2.1.2.1,Escherichia coli,R49,Serine hydroxymethyltransferase,R00945,MRL,1 _5_10_Methylenetetrahydrofolate; 1 Glycine; 1 H2O,1 Tetrahydrofolate; 1 L_Serine,Km__5_10_Methylenetetrahydrofolate: 0.2436095324350443; Km_Glycine: 1.50591842574268; Km_H2O: 0.4570970146098543; Km_Tetrahydrofolate: 0.2087231399171519; Km_L_Serine: 2.20561341855993,Kcat_F: 831.6983177490271; Kcat_R: 1576.650261108836,,,Keq: 0.07
,2.7.2.1,Escherichia coli,R50,Acetate kinase,R00315,MRL,1 ATP; 1 Acetate,1 ADP; 1 Acetyl_phosphate,Km_ATP: 0.4315861783488235; Km_Acetate: 15.746413694816898; Km_ADP: 0.2969465608605766; Km_Acetyl_phosphate: 0.3296016738624534,Kcat_F: 2481.345076103387; Kcat_R: 2663.3791390843194,,,Keq: 0.0035
,4.2.1.1,Escherichia coli,R51,Carbonic anhydrase,R00132,MRL,1 HCO3,1 CO2; 1 H2O,Km_HCO3: 6.955495097592893; Km_CO2: 8.08199740506203; Km_H2O: 0.2503950358557583,Kcat_F: 1729.1888219299274; Kcat_R: 2453.815309267885,,,Keq: 588
,4.3.1.17,Escherichia coli,R52,L-serine ammonia-lyase,R00220,MRL,1 L_Serine,1 Pyruvate; 1 Ammonia,Km_L_Serine: 4.637304863937694; Km_Pyruvate: 1.2340081187321494; Km_Ammonia: 6.102107614676745,Kcat_F: 23.516567928438004; Kcat_R: 5.233418304320995,,,Keq: 190000
,1.1.1.27,Escherichia coli,R53,Lactate dehydrogenase,R00703,MRL,1 S_Lactate; 1 NAD,1 Pyruvate; 1 NADH,Km_S_Lactate: 50.25293812856559; Km_NAD: 0.2723122075370397; Km_Pyruvate: 8.834437688124808; Km_NADH: 0.0738327731719646,Kcat_F: 332.9698400062984; Kcat_R: 321.623601804415,,,Keq: 0.00007
,1.1.1.49,Escherichia coli,R54,Glucose-6-phosphate dehydrogenase,R00835,MRL,1 DGlucose6phosphate; 1 NADP,1 D_Glucono_1_5_lactone_6_phosphate; 1 NADPH,Km_DGlucose6phosphate: 0.1398522378884501; Km_NADP: 0.05830483874721371; Km_D_Glucono_1_5_lactone_6_phosphate: 0.1403985627421363; Km_NADPH: 0.015155360795058406,Kcat_F: 168.1099448765029; Kcat_R: 232.0222997817482,,,Keq: 20
Heterologous,6.4.1.1,Rhizobium etli,R55,Pyruvate carboxylase,R00344,MRL,1 ATP; 1 Pyruvate; 1 HCO3,1 ADP; 1 Oxaloacetate,Km_ATP: 0.145; Km_HCO3: 10.8; Km_Pyruvate: 0.15; Km_ADP: 0.12; Km_Oxaloacetate: 0.003,Kcat_F:440; Kcat_R: 0.835,,,Keq: 20
Heterologous,1.17.1.9,Starkeya novella,R56,Formate dehydrogenase,R00519,MRL,1 Formate; 1 NAD,1 CO2; 1 NADH,Km_Formate: 2.2; Km_NAD: 0.1; Km_CO2: 4.33005; Km_NADH: 0.048,Kcat_F: 0.9; Kcat_R: 1.10792,,,Keq: 340
Heterologous,4.3.1.17,Dictyostelium discoideum,R57,L-serine ammonia-lyase,R00220,MRL,1 L_Serine,1 Pyruvate; 1 Ammonia,Km_L_Serine: 40; Km_Pyruvate: 2.13838; Km_Ammonia: 103.68580,Kcat_F: 0.97; Kcat_R: 0.146857,,,Keq: 190000
